,group,account,names,profession,Main_fight_dps,Dhuum_fight_dps,Ritual_dps
0,2,JMDhouse.7162,Kyla Kelemon,Scourge,15369.51,16444.5,13831.97
1,2,Soen.7310,Overleveled,Herald,8328.28,9201.04,4255.42
2,2,pang.8260,Wow Im An Engi Too,Mechanist,18891.1,21629.09,24471.04
3,2,Taja.1524,Jora Talon,Scourge,15480.34,16980.95,19283.2
4,2,Narcin Roc.3018,T A C T I C A L,Druid,1229.81,1379.8,193.49
5,3,Desruc.1295,Mr Oránge,Firebrand,3480.05,3868.75,4978.2
6,3,PiAvenger.7254,Irralis Luvan,Mechanist,13531.34,16871.99,843.19
7,3,humes.7568,Humes The Tactful,Specter,13923.54,15530.44,15032.03
8,3,Munchuswewil.8930,Core Ranger Logs,Ranger,14891.52,16375.19,19215.91
9,3,Chupathingy.7365,Ilena Quicksword,Deadeye,11808.12,14723.33,0.0
