,group,account,names,profession,Main_fight_dps,Dhuum_fight_dps,Ritual_dps
0,1,Joe.5310,Vahnur,Scourge,23400.98,28267.68,20053.09
1,1,RikiLoo.3067,Zinc Geartinkerer,Mechanist,5468.15,6222.84,7350.49
2,1,Vuu.7321,Vuuo,Virtuoso,18157.77,21166.27,20908.3
3,1,Caelus.4058,Caelus Hephaestus,Scrapper,15233.1,18501.22,12356.49
4,1,Eldhhar.2309,Bob The Pigeon,Virtuoso,18664.66,21588.95,22663.58
5,2,Rojaz.8740,Void Vex,Mechanist,15368.09,18614.31,12820.34
6,2,jakbow.9307,On A Turntable,Mechanist,2799.42,3378.37,2421.55
7,2,Battlepig.1620,Original Pränkster,Scrapper,7084.68,9429.62,0.0
8,2,FrostyFeet.8724,Void Cc,Virtuoso,16210.1,19899.9,11671.7
9,2,Zuan.7482,Sefiraa,Virtuoso,19234.03,23981.99,11272.68
